Kingdom,Biomass,Uncertainty
animals,1.7874260368324015,3.302008449778167
archaea,0.331733523950604,3.0
bacteria,1.521411598823462,3.0
fungi,0.2749470556811633,10.0
plants,0.502106440439548,2.3715325166268246
protists,2.075928648414947,2.7516425423996673
viruses,0.0342858944535774,2.5142538845516467
